Quantifier,PI in the premise,Direction,Content,Monot,Premise,Consequent
Nowi,Negative,Decreasing,1,DD,No alien died without eating any meat.,No alien died without eating pork.
Evwho,None,Decreasing,1,DD,Every alien who did not eat meat is hairy.,Every alien who did not eat pork is hairy.
Nowi,Negative,Increasing,1,DD,No alien died without eating any pork.,No alien died without eating meat.
Evwho,None,Increasing,1,DD,Every alien who did not eat pork is hairy.,Every alien who did not eat meat is hairy.
Nowi,Negative,Decreasing,2,DD,No alien died without watching any sports matches.,No alien died without watching baseball matches.
Evwho,None,Decreasing,2,DD,Every alien who did not watch sports matches is hairy.,Every alien who did not watch baseball matches is hairy.
Nowi,Negative,Increasing,2,DD,No alien died without watching any baseball matches.,No alien died without watching sports matches.
Evwho,None,Increasing,2,DD,Every alien who did not watch baseball matches is hairy.,Every alien who did not watch sports matches is hairy.
Nowi,Negative,Decreasing,3,DD,No alien died without seeing any birds.,No alien died without seeing doves.
Evwho,None,Decreasing,3,DD,Every alien who did not see birds is hairy.,Every alien who did not see doves is hairy.
Nowi,Negative,Increasing,3,DD,No alien died without seeing any doves.,No alien died without seeing birds.
Evwho,None,Increasing,3,DD,Every alien who did not see doves is hairy.,Every alien who did not see birds is hairy.
Nowi,Negative,Decreasing,4,DD,No alien died without eating at any restaurants.,No alien died without eating at Mexican restaurants.
Evwho,None,Decreasing,4,DD,Every alien who did not eat at restaurants is hairy.,Every alien who did not eat at Mexican restaurants is hairy.
Nowi,Negative,Increasing,4,DD,No alien died without eating at any Mexican restaurants.,No alien died without eating at restaurants.
Evwho,None,Increasing,4,DD,Every alien who did not eat at Mexican restaurants is hairy.,Every alien who did not eat at restaurants is hairy.
Nowi,Negative,Decreasing,5,DD,No alien died without playing with any toys.,No alien died without playing with toy cars.
Evwho,None,Decreasing,5,DD,Every alien who did not play with toys is hairy.,Every alien who did not play with toy cars is hairy.
Nowi,Negative,Increasing,5,DD,No alien died without playing with any toy cars.,No alien died without playing with toys.
Evwho,None,Increasing,5,DD,Every alien who did not play with toy cars is hairy.,Every alien who did not play with toys is hairy.
Nowi,Negative,Decreasing,6,DD,No alien died without using any coins.,No alien died without using quarters.
Evwho,None,Decreasing,6,DD,Every alien who did not use coins is hairy.,Every alien who did not use quarters is hairy.
Nowi,Negative,Increasing,6,DD,No alien died without using any quarters.,No alien died without using coins.
Evwho,None,Increasing,6,DD,Every alien who did not use quarters is hairy.,Every alien who did not use coins is hairy.
Nowi,Negative,Decreasing,7,DD,No alien died without buying any clothes.,No alien died without buying shirts.
Evwho,None,Decreasing,7,DD,Every alien who did not buy clothes is hairy.,Every alien who did not buy shirts is hairy.
Nowi,Negative,Increasing,7,DD,No alien died without buying any shirts.,No alien died without buying clothes.
Evwho,None,Increasing,7,DD,Every alien who did not buy shirts is hairy.,Every alien who did not buy clothes is hairy.
Nowi,Negative,Decreasing,8,DD,No alien died without throwing any balls.,No alien died without throwing tennis balls.
Evwho,None,Decreasing,8,DD,Every alien who did not throw balls is hairy.,Every alien who did not throw tennis balls is hairy.
Nowi,Negative,Increasing,8,DD,No alien died without throwing any tennis balls.,No alien died without throwing balls.
Evwho,None,Increasing,8,DD,Every alien who did not throw tennis balls is hairy.,Every alien who did not throw balls is hairy.
Nowi,Negative,Decreasing,9,DD,No alien died without drinking any soda.,No alien died without drinking coke.
Evwho,None,Decreasing,9,DD,Every alien who did not drink soda is hairy.,Every alien who did not drink coke is hairy.
Nowi,Negative,Increasing,9,DD,No alien died without drinking any coke.,No alien died without drinking soda.
Evwho,None,Increasing,9,DD,Every alien who did not drink coke is hairy.,Every alien who did not drink soda is hairy.
Nowi,Negative,Decreasing,10,DD,No alien died without reading any magazines.,No alien died without reading news magazines.
Evwho,None,Decreasing,10,DD,Every alien who did not read magazines is hairy.,Every alien who did not read news magazines is hairy.
Nowi,Negative,Increasing,10,DD,No alien died without reading any news magazines.,No alien died without reading magazines.
Evwho,None,Increasing,10,DD,Every alien who did not read news magazines is hairy.,Every alien who did not read magazines is hairy.
Negative,Negative,Decreasing,1,DE,The red alien did not eat any meat.,The red alien did not eat pork.
No,Negative,Decreasing,1,DE,No alien ate any meat.,No alien ate pork.
Few,None,Decreasing,1,DE,Few aliens ate meat.,Few aliens ate pork.
Negative,Negative,Increasing,1,DE,The red alien did not eat any pork.,The red alien did not eat meat.
No,Negative,Increasing,1,DE,No alien ate any pork.,No alien ate meat.
Few,None,Increasing,1,DE,Few aliens ate pork.,Few aliens ate meat.
Negative,Negative,Decreasing,2,DE,The red alien did not watch any sports matches.,The red alien did not watch baseball matches.
No,Negative,Decreasing,2,DE,No alien watched any sports matches.,No alien watched baseball matches.
Few,None,Decreasing,2,DE,Few aliens watched sports matches.,Few aliens watched baseball matches.
Negative,Negative,Increasing,2,DE,The red alien did not watch any baseball matches.,The red alien did not watch sports matches.
No,Negative,Increasing,2,DE,No alien watched any baseball matches.,No alien watched sports matches.
Few,None,Increasing,2,DE,Few aliens watched baseball matches.,Few aliens watched sports matches.
Negative,Negative,Decreasing,3,DE,The red alien did not see any birds.,The red alien did not see doves.
No,Negative,Decreasing,3,DE,No alien saw any birds.,No alien saw doves.
Few,None,Decreasing,3,DE,Few aliens saw birds.,Few aliens saw doves.
Negative,Negative,Increasing,3,DE,The red alien did not see any doves.,The red alien did not see birds.
No,Negative,Increasing,3,DE,No alien saw any doves.,No alien saw birds.
Few,None,Increasing,3,DE,Few aliens saw doves.,Few aliens saw birds.
Negative,Negative,Decreasing,4,DE,The red alien did not eat at any restaurants.,The red alien did not eat at Mexican restaurants.
No,Negative,Decreasing,4,DE,No alien ate at any restaurants.,No alien ate at Mexican restaurants.
Few,None,Decreasing,4,DE,Few aliens ate at restaurants.,Few aliens ate at Mexican restaurants.
Negative,Negative,Increasing,4,DE,The red alien did not eat at any Mexican restaurants.,The red alien did not eat at restaurants.
No,Negative,Increasing,4,DE,No alien ate at any Mexican restaurants.,No alien ate at restaurants.
Few,None,Increasing,4,DE,Few aliens ate at Mexican restaurants.,Few aliens ate at restaurants.
Negative,Negative,Decreasing,5,DE,The red alien did not play with any toys.,The red alien did not play with toy cars.
No,Negative,Decreasing,5,DE,No alien played with any toys.,No alien played with toy cars.
Few,None,Decreasing,5,DE,Few aliens played with toys.,Few aliens played with toy cars.
Negative,Negative,Increasing,5,DE,The red alien did not play with any toy cars.,The red alien did not play with toys.
No,Negative,Increasing,5,DE,No alien played with any toy cars.,No alien played with toys.
Few,None,Increasing,5,DE,Few aliens played with toy cars.,Few aliens played with toys.
Negative,Negative,Decreasing,6,DE,The red alien did not use any coins.,The red alien did not use quarters.
No,Negative,Decreasing,6,DE,No alien used any coins.,No alien used quarters.
Few,None,Decreasing,6,DE,Few aliens used coins.,Few aliens used quarters.
Negative,Negative,Increasing,6,DE,The red alien did not use any quarters.,The red alien did not use coins.
No,Negative,Increasing,6,DE,No alien used any quarters.,No alien used coins.
